VariableCode,RegionCode,YearCode,AggValue
rgdpo,CMR,1962,7257.41894531250000000
pop,CMR,1962,5.83173087657892000
rgdpo,CMR,1963,7651.59765625000000000
pop,CMR,1963,5.93112507437835000
rgdpo,CMR,1964,7934.59375000000000000
pop,CMR,1964,6.03510829167798000
rgdpo,CMR,1965,8392.16796875000000000
pop,CMR,1965,6.14392531458231000
rgdpo,CMR,1966,8737.37304687500000000
pop,CMR,1966,6.25783244854194000
rgdpo,CMR,1967,7996.45556640625000000
pop,CMR,1967,6.37716711440285000
rgdpo,CMR,1968,8351.97265625000000000
pop,CMR,1968,6.50222209554496000
rgdpo,CMR,1969,8881.61035156250000000
pop,CMR,1969,6.63337609047109000
rgdpo,CMR,1970,9276.99511718750000000
pop,CMR,1970,6.77096700000000000
rgdpo,CMR,1971,9852.70605468750000000
pop,CMR,1971,6.94884700000000000
rgdpo,CMR,1972,10727.74121093750000000
pop,CMR,1972,7.13437400000000000
rgdpo,CMR,1973,11088.56835937500000000
pop,CMR,1973,7.32787400000000000
rgdpo,CMR,1974,11757.67578125000000000
pop,CMR,1974,7.52970400000000000
rgdpo,CMR,1975,13102.99414062500000000
pop,CMR,1975,7.74019600000000000
rgdpo,CMR,1976,12749.40039062500000000
pop,CMR,1976,7.95950000000000000
rgdpo,CMR,1977,14176.19335937500000000
pop,CMR,1977,8.18784000000000000
rgdpo,CMR,1978,17530.73437500000000000
pop,CMR,1978,8.42570700000000000
rgdpo,CMR,1979,18193.52148437500000000
pop,CMR,1979,8.67366600000000000
rgdpo,CMR,1980,17475.77929687500000000
pop,BHS,1993,0.27116500000000000
rgdpo,BHS,1994,4676.21386718750000000
pop,BHS,1994,0.27590300000000000
rgdpo,BHS,1995,4673.52978515625000000
pop,BHS,1995,0.28015100000000000
rgdpo,BHS,1996,5848.00830078125000000
pop,BHS,1996,0.28379200000000000
rgdpo,BHS,1997,5656.38867187500000000
pop,BHS,1997,0.28696800000000000
rgdpo,BHS,1998,6108.31884765625000000
pop,BHS,1998,0.29005400000000000
rgdpo,BHS,1999,6835.51269531250000000
pop,BHS,1999,0.29357200000000000
rgdpo,BHS,2000,7183.15771484375000000
pop,BHS,2000,0.29789100000000000
rgdpo,BHS,2001,6970.66503906250000000
pop,BHS,2001,0.30313800000000000
rgdpo,BHS,2002,8150.04443359375000000
pop,BHS,2002,0.30917000000000000
rgdpo,BHS,2003,7796.69628906250000000
pop,BHS,2003,0.31575700000000000
rgdpo,BHS,2004,7522.13378906250000000
pop,BHS,2004,0.32253900000000000
rgdpo,BHS,2005,8410.92675781250000000
pop,BHS,2005,0.32924300000000000
rgdpo,BHS,2006,7709.87060546875000000
pop,BHS,2006,0.33580100000000000
rgdpo,BHS,2007,8477.82812500000000000
pop,BHS,2007,0.34225900000000000
rgdpo,BHS,2008,7974.83398437500000000
pop,BHS,2008,0.34858700000000000
rgdpo,BHS,2009,8146.80078125000000000
pop,BHS,2009,0.35478000000000000
rgdpo,COL,1960,57445.05468750000000000
pop,COL,1960,16.42287136030200000
rgdpo,COL,1961,61100.29296875000000000
pop,COL,1961,16.96169291020870000
rgdpo,COL,1962,63917.50390625000000000
pop,COL,1962,17.51118542829260000
rgdpo,COL,1963,65757.11718750000000000
pop,COL,1963,18.06311668820650000
rgdpo,COL,1964,71264.28125000000000000
pop,COL,1964,18.62313192566860000
rgdpo,COL,1965,71497.55468750000000000
pop,COL,1965,19.19569824024700000
rgdpo,COL,1966,75523.70312500000000000
pop,COL,1966,19.76762836130440000
rgdpo,COL,1967,78334.80468750000000000
pop,COL,1967,20.34649377716380000
rgdpo,COL,1968,83458.35937500000000000
pop,COL,1968,20.92056614245370000
rgdpo,COL,1969,89053.57812500000000000
pop,COL,1969,21.48417665873300000
rgdpo,COL,1970,96297.74218750000000000
pop,COL,1970,22.06121400000000000
rgdpo,COL,1971,106420.71093750000000000
pop,COL,1971,22.61198800000000000
rgdpo,COL,1972,116838.37500000000000000
pop,COL,1972,23.14680300000000000
rgdpo,COL,1973,129481.23437500000000000
pop,COL,1973,23.67450500000000000
rgdpo,COL,1974,140000.14062500000000000
pop,COL,1974,24.20802200000000000
rgdpo,COL,1975,148059.60937500000000000
pop,COL,1975,24.75696900000000000
rgdpo,COL,1976,158069.53125000000000000
pop,COL,1976,25.32341200000000000
rgdpo,COL,1977,165849.68750000000000000
pop,COL,1977,25.90512400000000000
rgdpo,COL,1978,178352.25000000000000000
pop,COL,1978,26.50217200000000000
rgdpo,COL,1979,184898.29687500000000000
pop,COL,1979,27.11351000000000000
rgdpo,COL,1980,193919.85937500000000000
pop,COL,1980,27.73790500000000000
rgdpo,COL,1981,194945.42187500000000000
pop,COL,1981,28.37599500000000000
rgdpo,COL,1982,195659.76562500000000000
pop,COL,1982,29.02715800000000000
rgdpo,COL,1983,194608.71875000000000000
pop,COL,1983,29.68709600000000000
rgdpo,COL,1984,198516.15625000000000000
pop,COL,1984,30.35008200000000000
rgdpo,COL,1985,198476.76562500000000000
pop,COL,1985,31.01168600000000000
rgdpo,COL,1986,210976.15625000000000000
pop,COL,1986,31.66978000000000000
rgdpo,COL,1987,212971.50000000000000000
pop,COL,1987,32.32432600000000000
rgdpo,COL,1988,220027.98437500000000000
pop,COL,1988,32.97553300000000000
rgdpo,COL,1989,224824.82812500000000000
pop,COL,1989,33.62444200000000000
rgdpo,COL,1990,232489.78125000000000000
pop,COL,1990,34.27156300000000000
rgdpo,COL,1991,233451.68750000000000000
pop,COL,1991,34.91677000000000000
rgdpo,COL,1992,244108.34375000000000000
pop,COL,1992,35.55868300000000000
rgdpo,COL,1993,260876.70312500000000000
pop,COL,1993,36.19517000000000000
rgdpo,COL,1994,275294.87500000000000000
pop,COL,1994,36.82353900000000000
rgdpo,COL,1995,287704.31250000000000000
pop,COL,1995,37.44198000000000000
rgdpo,COL,1996,288121.78125000000000000
pop,COL,1996,38.04904000000000000
rgdpo,COL,1997,294734.56250000000000000
pop,COL,1997,38.64540900000000000
rgdpo,COL,1998,288066.09375000000000000
pop,COL,1998,39.23405900000000000
rgdpo,COL,1999,271991.81250000000000000
pop,COL,1999,39.81927900000000000
rgdpo,COL,2000,280411.37500000000000000
pop,COL,2000,40.40395900000000000
rgdpo,COL,2001,281878.40625000000000000
pop,COL,2001,40.98890900000000000
rgdpo,COL,2002,285368.25000000000000000
pop,COL,2002,41.57249300000000000
rgdpo,COL,2003,295728.96875000000000000
pop,COL,2003,42.15214700000000000
rgdpo,COL,2004,310139.46875000000000000
pop,COL,2004,42.72415700000000000
rgdpo,COL,2005,331142.75000000000000000
pop,COL,2005,43.28563600000000000
rgdpo,COL,2006,363988.31250000000000000
pop,COL,2006,43.83574400000000000
rgdpo,COL,2007,401641.93750000000000000
pop,COL,2007,44.37464700000000000
rgdpo,COL,2008,438219.50000000000000000
pop,COL,2008,44.90166000000000000
rgdpo,COL,2009,445967.56250000000000000
pop,COL,2009,45.41627600000000000
rgdpo,EGY,1960,18619.63085937500000000
pop,EGY,1960,27.83380525479140000
rgdpo,EGY,1961,19474.84375000000000000
pop,EGY,1961,28.53492458619660000
rgdpo,EGY,1962,20513.89257812500000000
pop,EGY,1962,29.20929052123700000
rgdpo,EGY,1963,22240.76367187500000000
pop,EGY,1963,29.88045095287660000
rgdpo,EGY,1964,25067.38281250000000000
pop,EGY,1964,30.61905153749360000
rgdpo,EGY,1965,26033.95312500000000000
pop,EGY,1965,31.37804988125780000
rgdpo,EGY,1966,26669.56250000000000000
pop,EGY,1966,32.12580424455560000
rgdpo,EGY,1967,27605.92382812500000000
pop,EGY,1967,32.84616055133510000
rgdpo,EGY,1968,30410.63476562500000000
pop,EGY,1968,33.52699484024560000
rgdpo,EGY,1969,32889.73828125000000000
pop,EGY,1969,34.17846545241560000
rgdpo,EGY,1970,37845.99609375000000000
pop,EGY,1970,34.80859900000000000
rgdpo,EGY,1971,38636.18750000000000000
pop,EGY,1971,35.56108700000000000
rgdpo,EGY,1972,41109.08593750000000000
pop,EGY,1972,36.30215400000000000
rgdpo,EGY,1973,41231.65234375000000000
pop,EGY,1973,37.04680700000000000
rgdpo,EGY,1974,42815.14453125000000000
pop,EGY,1974,37.81557800000000000
rgdpo,EGY,1975,47114.52343750000000000
pop,EGY,1975,38.62441000000000000
rgdpo,EGY,1976,48960.49218750000000000
pop,EGY,1976,39.47858500000000000
rgdpo,EGY,1977,51866.75000000000000000
pop,EGY,1977,40.37766800000000000
rgdpo,EGY,1978,54970.44531250000000000
pop,EGY,1978,41.32480600000000000
rgdpo,EGY,1979,55862.93359375000000000
pop,EGY,1979,42.32174000000000000
rgdpo,EGY,1980,57836.87109375000000000
pop,EGY,1980,43.36955200000000000
rgdpo,EGY,1981,69988.11718750000000000
pop,EGY,1981,44.46591800000000000
rgdpo,EGY,1982,70818.19531250000000000
pop,EGY,1982,45.61043000000000000
rgdpo,EGY,1983,81444.37500000000000000
pop,EGY,1983,46.80722100000000000
rgdpo,EGY,1984,90450.93750000000000000
pop,EGY,1984,48.06154600000000000
rgdpo,EGY,1985,92835.00781250000000000
pop,EGY,1985,49.37380600000000000
rgdpo,EGY,1986,95313.10937500000000000
pop,EGY,1986,50.74818700000000000
rgdpo,EGY,1987,96984.61718750000000000
pop,EGY,1987,52.17384000000000000
rgdpo,EGY,1988,95628.59375000000000000
pop,EGY,1988,53.61767800000000000
rgdpo,EGY,1989,105876.99218750000000000
pop,EGY,1989,55.03593700000000000
rgdpo,EGY,1990,121968.91406250000000000
pop,EGY,1990,56.39727300000000000
rgdpo,EGY,1991,142992.85937500000000000
pop,EGY,1991,57.68982800000000000
rgdpo,EGY,1992,157458.64062500000000000
pop,EGY,1992,58.92201800000000000
rgdpo,EGY,1993,180965.39062500000000000
pop,EGY,1993,60.10837300000000000
rgdpo,EGY,1994,207130.85937500000000000
pop,EGY,1994,61.27284700000000000
rgdpo,EGY,1995,247151.51562500000000000
pop,EGY,1995,62.43452700000000000
rgdpo,EGY,1996,299457.53125000000000000
pop,EGY,1996,63.59562900000000000
rgdpo,EGY,1997,308959.40625000000000000
pop,EGY,1997,64.75456600000000000
rgdpo,EGY,1998,314067.37500000000000000
pop,EGY,1998,65.92262600000000000
rgdpo,EGY,1999,329421.93750000000000000
pop,EGY,1999,67.11287700000000000
rgdpo,EGY,2000,340436.71875000000000000
pop,EGY,2000,68.33490500000000000
rgdpo,EGY,2001,358211.28125000000000000
pop,EGY,2001,69.59994500000000000
rgdpo,EGY,2002,368679.50000000000000000
pop,EGY,2002,70.90871000000000000
rgdpo,EGY,2003,382074.81250000000000000
pop,EGY,2003,72.24762600000000000
rgdpo,EGY,2004,401761.37500000000000000
pop,EGY,2004,73.59606800000000000
rgdpo,EGY,2005,426299.15625000000000000
pop,EGY,2005,74.94211500000000000
rgdpo,EGY,2006,465465.62500000000000000
pop,EGY,2006,76.27428500000000000
rgdpo,EGY,2007,531694.87500000000000000
pop,EGY,2007,77.60532700000000000
rgdpo,EGY,2008,633230.75000000000000000
pop,EGY,2008,78.97612200000000000
rgdpo,EGY,2009,663489.12500000000000000
pop,EGY,2009,80.44244300000000000
rgdpo,GHA,1960,19501.66992187500000000
pop,GHA,1960,6.80630008623862000
rgdpo,GHA,1961,19283.09570312500000000
pop,GHA,1961,6.99726121410572000
rgdpo,GHA,1962,19130.62890625000000000
pop,GHA,1962,7.19459460040108000
rgdpo,GHA,1963,20548.19531250000000000
pop,GHA,1963,7.39862953911168000
rgdpo,GHA,1964,21268.19531250000000000
pop,GHA,1964,7.61184273147119000
rgdpo,GHA,1965,20907.49218750000000000
pop,GHA,1965,7.83465582303800000
rgdpo,GHA,1966,20568.51367187500000000
pop,GHA,1966,8.06538269800052000
rgdpo,GHA,1967,20446.18359375000000000
pop,GHA,1967,8.30477009810547000
rgdpo,GHA,1968,20963.63281250000000000
pop,GHA,1968,8.55330869937880000
rgdpo,GHA,1969,22527.87109375000000000
pop,GHA,1969,8.81227276693732000
rgdpo,GHA,1970,24441.47070312500000000
pop,CMR,1980,8.93212100000000000
rgdpo,CMR,1981,20047.43164062500000000
pop,CMR,1981,9.20114600000000000
rgdpo,CMR,1982,23064.86132812500000000
pop,CMR,1982,9.48063800000000000
rgdpo,CMR,1983,26352.58984375000000000
pop,CMR,1983,9.77055500000000000
rgdpo,CMR,1984,29725.39843750000000000
pop,CMR,1984,10.07077900000000000
rgdpo,CMR,1985,30869.88085937500000000
pop,CMR,1985,10.38109800000000000
rgdpo,CMR,1986,29498.71484375000000000
pop,CMR,1986,10.70145800000000000
rgdpo,CMR,1987,28234.29101562500000000
pop,CMR,1987,11.03151500000000000
rgdpo,CMR,1988,26972.73242187500000000
pop,CMR,1988,11.37039400000000000
rgdpo,CMR,1989,27334.23242187500000000
pop,CMR,1989,11.71697500000000000
rgdpo,CMR,1990,28313.73632812500000000
pop,CMR,1990,12.07035900000000000
rgdpo,CMR,1991,27380.89648437500000000
pop,CMR,1991,12.43031100000000000
rgdpo,CMR,1992,26941.34375000000000000
pop,CMR,1992,12.79673900000000000
rgdpo,CMR,1993,26250.77734375000000000
pop,CMR,1993,13.16910000000000000
rgdpo,CMR,1994,25178.84375000000000000
pop,CMR,1994,13.54682300000000000
rgdpo,CMR,1995,27930.04492187500000000
pop,CMR,1995,13.92957500000000000
rgdpo,CMR,1996,29590.30859375000000000
pop,CMR,1996,14.31719100000000000
